omega_2,Saturation
0.002468597034950126,0.2
0.0024685970224859613,0.2006012024048096
0.0024685970996832026,0.2012024048096192
0.0024685971869773393,0.2018036072144288
0.0024685972059265487,0.2024048096192384
0.0024685970868809134,0.2030060120240481
0.0024685968818663894,0.2036072144288577
0.0024685967179072124,0.2042084168336673
0.002468596567602458,0.2048096192384769
0.002468596370890146,0.2054108216432865
0.002468596097598213,0.2060120240480962
0.002468595687899002,0.2066132264529058
0.0024685950544568722,0.2072144288577154
0.00246859417799567,0.207815631262525
0.002468593002852236,0.2084168336673346
0.002468591494360279,0.2090180360721443
0.002468589681237963,0.2096192384769539
0.0024685875048585985,0.2102204408817635
0.0024685848582807323,0.2108216432865731
0.0024685817191206125,0.2114228456913827
0.0024685781621591667,0.2120240480961924
0.0024685740944042347,0.212625250501002
0.002468569362971368,0.2132264529058116
0.002468563864554241,0.2138276553106212
0.002468557571458079,0.2144288577154308
0.0024685504793844687,0.2150300601202404
0.002468542636528734,0.2156312625250501
0.002468533973745211,0.2162324649298597
0.0024685243717017693,0.2168336673346693
0.0024685137518991656,0.2174348697394789
0.0024685020188128133,0.2180360721442885
0.002468489047893957,0.2186372745490982
0.0024684748103114156,0.2192384769539078
0.00246845925641786,0.2198396793587174
0.0024684423795578083,0.220440881763527
0.002468424124973351,0.2210420841683366
0.0024684043154914147,0.2216432865731463
0.002468382836996567,0.2222444889779559
0.0024683597536061873,0.2228456913827655
0.0024683349666476426,0.2234468937875751
0.0024683082938066246,0.2240480961923847
0.0024682795964080643,0.2246492985971944
0.002468248722411161,0.225250501002004
0.0024682155894761295,0.2258517034068136
0.0024681802312405787,0.2264529058116232
0.0024681425890767054,0.2270541082164328
0.0024681025082607133,0.2276553106212425
0.002468059900061563,0.2282565130260521
0.0024680146461425532,0.2288577154308617
0.00246796658885685,0.2294589178356713
0.002467915572124912,0.2300601202404809
0.0024678615828275076,0.2306613226452906
0.0024678046272715946,0.2312625250501002
0.0024677446051588315,0.2318637274549098
0.002467681330645124,0.2324649298597194
0.002467614654931904,0.233066132264529
0.002467544496456504,0.2336673346693387
0.0024674708037738125,0.2342685370741483
0.002467393461531269,0.2348697394789579
0.002467312290142587,0.2354709418837675
0.002467227117797811,0.2360721442885771
0.002467137871922842,0.2366733466933868
0.0024670444959889698,0.2372745490981964
0.0024669469531264005,0.237875751503006
0.002466845092152874,0.2384769539078156
0.002466738776612384,0.2390781563126252
0.0024666279241611156,0.2396793587174348
0.0024665123162419225,0.2402805611222445
0.0024663917272023245,0.2408817635270541
0.0024662661041136165,0.2414829659318637
0.0024661354332738187,0.2420841683366733
0.0024659995428162667,0.2426853707414829
0.0024658582809475777,0.2432865731462926
0.0024657114608303875,0.2438877755511022
0.0024655589173229455,0.2444889779559118
0.002465400590864971,0.2450901803607214
0.0024652364116371584,0.245691382765531
0.002465066207936271,0.2462925851703407
0.002464889759075997,0.2468937875751503
0.0024647069418705717,0.2474949899799599
0.002464517727078305,0.2480961923847695
0.0024643219601793967,0.2486973947895791
0.002464119524222504,0.2492985971943888
0.0024639103131454437,0.2498997995991984
0.00246369423598846,0.250501002004008
0.002463470992933645,0.2511022044088176
0.0024632403775969253,0.2517034068136272
0.002463002227335327,0.2523046092184369
0.002462756522367069,0.2529058116232465
0.002462503237579876,0.2535070140280561
0.002462242201711081,0.2541082164328657
0.0024619732195354117,0.2547094188376753
