Saturation,Fractional Flow
0.2,0.0
0.20060120240480964,2.4265870795809864e-13
0.20120240480961926,3.894263145204152e-12
0.20180360721442886,1.9774358303383087e-11
0.20240480961923848,6.26862170201316e-11
0.2030060120240481,1.5350746111691448e-10
0.20360721442885774,3.1928206046680137e-10
0.20420841683366733,5.933137328555725e-10
0.20480961923847696,1.0152607679160812e-09
0.20541082164328658,1.6312322988402552e-09
0.2060120240480962,2.4938860460068174e-09
0.20661322645290583,3.662527557104327e-09
0.20721442885771543,5.2032109687801165e-09
0.20781563126252506,7.188841315306066e-09
0.20841683366733468,9.699278410219773e-09
0.2090180360721443,1.2821442327380838e-08
0.2096192384769539,1.6649420508367672e-08
0.21022044088176353,2.128457652364127e-08
0.21082164328657316,2.6835660515406456e-08
0.21142284569138278,3.3418921350625855e-08
0.2120240480961924,4.115822051316554e-08
0.212625250501002,5.018514776459423e-08
0.21322645290581163,6.063913860371072e-08
0.21382765531062126,7.266759355542824e-08
0.21442885771543088,8.642599932023324e-08
0.21503006012024048,1.0207805181600628e-07
0.2156312625250501,1.1979578114460443e-07
0.21623246492985973,1.3975967851619715e-07
0.21683366733466936,1.6215882516499526e-07
0.21743486973947895,1.8719102329062386e-07
0.21803607214428858,2.1506292906005904e-07
0.2186372745490982,2.459901877056867e-07
0.21923847695390783,2.8019757075575155e-07
0.21983967935871745,3.179191154341242e-07
0.22044088176352705,3.5939826626702964e-07
0.22104208416833668,4.048880189351217e-07
0.2216432865731463,4.5465106640996105e-07
0.22224448897795593,5.089599474147982e-07
0.22284569138276555,5.680971972502393e-07
0.22344689378757515,6.323555010262026e-07
0.22404809619238478,7.020378493423863e-07
0.2246492985971944,7.774576964602052e-07
0.22525050100200403,8.589391210101055e-07
0.22585170340681363,9.468169892789139e-07
0.22645290581162325,1.0414371211228145e-06
0.22705410821643288,1.1431564585523577e-06
0.2276553106212425,1.2523432370369345e-06
0.2282565130260521,1.3693771595769345e-06
0.22885771543086172,1.4946495735928902e-06
0.22945891783567135,1.628563650681701e-06
0.23006012024048098,1.771534569291256e-06
0.2306613226452906,1.923989700365546e-06
0.2312625250501002,2.0863687960135266e-06
0.23186372745490982,2.2591241812560674e-06
0.23246492985971945,2.442720948906181e-06
0.23306613226452907,2.6376371576392007e-06
0.2336673346693387,2.8443640333103204e-06
0.2342685370741483,3.0634061735782724e-06
0.23486973947895792,3.295281755895105e-06
0.23547094188376755,3.540522748923004e-06
0.23607214428857717,3.799675127440658e-06
0.2366733466933868,4.073299090802637e-06
0.2372745490981964,4.361969285016632e-06
0.23787575150300602,4.666275028504842e-06
0.23847695390781565,4.986820541616769e-06
0.23907815631262525,5.324225179962588e-06
0.23967935871743487,5.6791236716371665e-06
0.2402805611222445,6.052166358406407e-06
0.24088176352705412,6.444019440929214e-06
0.24148296593186375,6.855365228089642e-06
0.24208416833667334,7.286902390515406e-06
0.24268537074148297,7.739346218360557e-06
0.2432865731462926,8.213428883431505e-06
0.24388777555110222,8.709899705737567e-06
0.24448897795591185,9.229525424548545e-06
0.24509018036072144,9.773090474043728e-06
0.24569138276553107,1.0341397263638448e-05
0.2462925851703407,1.0935266463075903e-05
0.24689378757515032,1.1555537292374195e-05
0.24749498997995995,1.2203067816720111e-05
0.24809619238476954,1.2878735246402863e-05
0.24869739478957917,1.3583436241883856e-05
0.2492985971943888,1.4318087224099023e-05
0.2498997995991984,1.508362469009416e-05
0.25050100200400804,1.5881005534094487e-05
0.25110220440881764,1.6711207374111508e-05
0.25170340681362724,1.7575228884194733e-05
0.2523046092184369,1.8474090132434644e-05
0.2529058116232465,1.9408832924828197e-05
0.25350701402805614,2.0380521155120566e-05
0.25410821643286574,2.1390241160736055e-05
0.25470941883767534,2.2439102084918792e-05
0.255310621242485,2.352823624520086e-05
0.2559118236472946,2.465879950832189e-05
0.25651302605210424,2.5831971671726302e-05
0.25711422845691384,2.7048956851763925e-05
0.25771543086172344,2.831098387872807e-05
0.2583166332665331,2.9619306698862073e-05
0.2589178356713427,3.097520478347204e-05
0.2595190380761523,3.2379983545286566e-05
0.26012024048096194,3.383497476220389e-05
0.26072144288577154,3.534153700857328e-05
0.2613226452905812,3.6901056094161106e-05
0.2619238476953908,3.851494551095047e-05
0.26252505010020044,4.0184646887934116e-05
0.26312625250501004,4.191163045405531e-05
