Saturation,Diffusion Coefficient
0.2,0.0
0.20130260521042084,1.603135217807356e-26
0.2026052104208417,4.0698670179284295e-24
0.20390781563126253,1.0344358881879223e-22
0.20521042084168337,1.0247776729472151e-21
0.20651302605210423,6.0582689196921726e-21
0.20781563126252506,2.5838043586802664e-20
0.2091182364729459,8.796645667900409e-20
0.21042084168336675,2.5395548730930406e-19
0.21172344689378758,6.46404261521274e-19
0.2130260521042084,1.489744552599105e-18
0.21432865731462927,3.1682682142682973e-18
0.2156312625250501,6.305504053201126e-18
0.21693386773547096,1.1869338645354374e-17
0.2182364729458918,2.130757790196384e-17
0.21953907815631263,3.671892551753061e-17
0.2208416833667335,6.106461238166974e-17
0.22214428857715432,9.842614909315237e-17
0.22344689378757515,1.5431489325451052e-16
0.224749498997996,2.3603932553042776e-16
0.22605210420841684,3.5313611470958787e-16
0.22735470941883767,5.178712233256492e-16
0.22865731462925853,7.458174627933104e-16
0.22995991983967937,1.056515051457712e-15
0.2312625250501002,1.4742218613277051e-15
0.23256513026052106,2.0287601603953836e-15
0.2338677354709419,2.756466768096675e-15
0.23517034068136272,3.701253642375872e-15
0.23647294589178358,4.9157860086287815e-15
0.2377755511022044,6.462785224140136e-15
0.23907815631262525,8.41646364710584e-15
0.2403807615230461,1.0864098847426442e-14
0.24168336673346694,1.3907754557748324e-14
0.24298597194388777,1.7666155818101388e-14
0.24428857715430863,2.2276725816463723e-14
0.24559118236472946,2.7897791970997765e-14
0.2468937875751503,3.471096883798654e-14
0.24819639278557115,4.29237254629948e-14
0.24949899799599198,5.2772144821780876e-14
0.2508016032064128,6.452388302242979e-14
0.2521042084168337,7.848133596105617e-14
0.2534068136272545,9.498502114099858e-14
0.25470941883767534,1.1441718237937555e-13
0.2560120240480962,1.372056251359656e-13
0.257314629258517,1.6382779020724441e-13
0.25861723446893786,1.9481507353410555e-13
0.2599198396793587,2.3075739987445124e-13
0.2612224448897796,2.7230805809254847e-13
0.2625250501002004,3.2018880581538923e-13
0.26382765531062125,3.751952512030007e-13
0.26513026052104205,4.3820251957419504e-13
0.2664328657314629,5.10171212621458e-13
0.26773547094188377,5.921536679415458e-13
0.2690380761523046,6.85300526596878e-13
0.27034068136272543,7.908676164115548e-13
0.2716432865731463,9.102231586936488e-13
0.2729458917835671,1.0448553060616126e-12
0.27424849699398796,1.1963800190369105e-12
0.2755511022044088,1.366549289049273e-12
0.2768537074148297,1.5572597154855345e-12
0.2781563126252505,1.7705614443936143e-12
0.27945891783567134,2.0086674764364083e-12
0.2807615230460922,2.273963351668501e-12
0.282064128256513,2.5690172186940624e-12
0.28336673346693386,2.8965902957394326e-12
0.2846693386773547,3.259647731155019e-12
0.2859719438877755,3.661369870836742e-12
0.2872745490981964,4.105163940047415e-12
0.28857715430861725,4.594676147075604e-12
0.28987975951903805,5.1338042161683435e-12
0.2911823647294589,5.726710357139848e-12
0.29248496993987977,6.377834679034007e-12
0.29378757515030063,7.091909055207841e-12
0.29509018036072143,7.873971447159603e-12
0.2963927855711423,8.729380694424285e-12
0.29769539078156315,9.663831777813913e-12
0.29899799599198396,1.0683371563282375e-11
0.3003006012024048,1.1794415033630562e-11
0.3016032064128257,1.3003762015295851e-11
0.3029058116232465,1.4318614407387938e-11
0.30420841683366734,1.5746593920179025e-11
0.3055110220440882,1.729576033013752e-11
0.306813627254509,1.8974630258680132e-11
0.30811623246492986,2.0792196481697393e-11
0.3094188376753507,2.275794777693368e-11
0.3107214428857715,2.4881889316290635e-11
0.3120240480961924,2.717456361003423e-11
0.31332665330661325,2.9647072009919736e-11
0.31462925851703405,3.231109677826449e-11
0.3159318637274549,3.5178923729770893e-11
0.31723446893787577,3.826346545322278e-11
0.3185370741482966,4.1578285119760875e-11
0.31983967935871743,4.5137620884747505e-11
0.3211422845691383,4.895641089002542e-11
0.3224448897795591,5.305031887336925e-11
0.32374749498997996,5.7435760391986435e-11
0.3250501002004008,6.212992966677401e-11
0.3263527054108216,6.715082705421471e-11
0.3276553106212425,7.251728715243503e-11
0.32895791583166334,7.824900754829733e-11
0.33026052104208414,8.436657821225601e-11
0.331563126252505,9.08915115473082e-11
0.33286573146292586,9.784627309911826e-11
0.33416833667334667,1.0525431293346199e-10
0.3354709418837675,1.1314009768809563e-10
0.3367735470941884,1.2152914330495827e-10
0.3380761523046092,1.3044804844979193e-10
0.33937875751503005,1.3992452862554947e-10
0.3406813627254509,1.4998745098566956e-10
0.3419839679358717,1.6066686985429187e-10
0.3432865731462926,1.719940629593825e-10
0.34458917835671343,1.840015683852922e-10
0.34589178356713424,1.9672322225119568e-10
0.3471943887775551,2.1019419712167797e-10
0.34849699398797596,2.2445104115558165e-10
0.34979959919839676,2.3953171799996905e-10
0.3511022044088176,2.554756474346944e-10
0.3524048096192385,2.723237467743704e-10
